ax,ay,az,label
0.0421,0.8682,0.0797,walking
0.0403,0.7220,0.1591,walking
0.0568,0.6964,0.1938,walking
0.0707,0.6921,0.1890,walking
0.0856,0.7709,0.2260,walking
0.0432,0.8077,0.2078,walking
0.0220,0.8920,0.1786,walking
0.0299,0.9500,0.1218,walking
0.0647,1.0056,0.0408,walking
0.1074,1.0540,0.0674,walking
0.0983,1.0359,0.0367,walking
0.1232,1.1895,0.2178,walking
0.1379,1.3636,-0.0924,walking
0.2063,1.1613,0.0283,walking
0.1581,0.9806,0.0544,walking
0.0861,0.9646,0.1348,walking
0.1405,0.9713,0.1090,walking
0.1792,0.9800,0.1335,walking
0.1571,0.9388,0.0632,walking
0.0729,0.7974,0.1000,walking
0.0480,0.7053,0.1758,walking
0.0441,0.6340,0.2173,walking
0.0499,0.7162,0.2369,walking
0.0647,0.8101,0.2994,walking
0.0623,0.8474,0.2924,walking
0.0725,0.8933,0.2871,walking
0.1068,0.9489,0.3093,walking
0.1285,0.9847,0.2819,walking
0.1407,0.9852,0.2223,walking
0.1244,1.0977,0.2860,walking
0.0043,1.4572,-0.0236,walking
-0.0109,1.3287,-0.1249,walking
-0.0037,1.0332,-0.0549,walking
-0.0591,0.8480,0.0060,walking
-0.0613,1.1465,0.0350,walking
-0.0215,1.2338,0.1658,walking
0.0851,1.0773,0.0922,walking
0.0658,0.8671,0.1118,walking
-0.0024,0.7621,0.0994,walking
-0.0123,0.7134,0.1250,walking
0.0142,0.6530,0.1746,walking
0.0035,0.6735,0.1622,walking
-0.0031,0.7906,0.2239,walking
-0.0137,0.8990,0.2417,walking
0.0173,0.9556,0.2234,walking
0.0425,0.9990,0.1708,walking
0.0458,1.0874,0.1298,walking
